tipo_credito,capital_prestado,plazo_meses,edad_cliente,tipo_laboral,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje_datacredito,cant_creditosvigentes,huella_consulta,saldo_mora,saldo_total,saldo_principal,saldo_mora_codeudor,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,tendencia_ingresos,carga_cuota,prop_mora,total_creditos_sectores,Pago_atiempo
4,2052000.0,6,28.0,Independiente,3000000,1300000,304970,732.0,4,3,0.0,6744.0,6744.0,0.0,0,2,2,1524887.0,Creciente,0.10165666666666667,0.0,4,1
9,821208.0,2,24.0,Independiente,5000000,2000000,324034,723.0,10,6,0.0,38707.0,38707.0,0.0,7,0,2,908526.0,Estable,0.0648068,0.0,9,1
4,2778360.0,8,30.0,Empleado,2000000,400000,315399,713.0,3,3,0.0,12582.0,12582.0,0.0,2,0,0,1278046.0,Creciente,0.1576995,0.0,2,1
9,1736228.4,11,30.0,Empleado,1000000,500000,135315,792.0,0,1,0.0,0.0,,0.0,0,0,0,917673.0,Creciente,0.135315,,0,1
4,2539500.0,24,24.0,Empleado,1345700,400000,110591,747.0,4,4,0.0,19300.0,19300.0,0.0,3,1,0,1624635.0,Creciente,0.08218102102994725,0.0,4,1
4,1800000.0,6,59.0,Empleado,2000000,1000000,267156,871.0,9,3,0.0,68452.0,59630.0,0.0,3,2,2,1453515.0,Estable,0.133578,0.0,7,1
4,3230280.0,24,27.0,Empleado,1500000,800000,143161,837.0,4,1,0.0,253.0,253.0,0.0,4,0,0,937300.0,Decreciente,0.09544066666666666,0.0,4,1
4,1088160.0,6,64.0,Empleado,5000000,2100000,151133,883.0,4,2,0.0,28.0,28.0,0.0,4,0,0,,,0.0302266,0.0,4,1
4,1458000.0,10,40.0,Empleado,1500000,500000,137465,756.0,8,10,0.0,13068.0,13068.0,0.0,3,0,4,,,0.09164333333333333,0.0,7,1
4,2503498.8,12,61.0,Empleado,3310000,65000,200949,838.0,7,2,0.0,0.0,0.0,0.0,4,0,1,969508.0,Creciente,0.060709667673716015,,5,1
4,2048280.0,24,33.0,Empleado,2400000,500000,89939,816.0,2,2,0.0,77947.0,77947.0,0.0,2,0,0,2072140.0,Creciente,0.03747458333333333,0.0,2,1
4,6830221.2,36,42.0,Empleado,4170000,824000,234207,840.0,9,4,0.0,60913.0,60913.0,0.0,4,0,2,5600711.0,Decreciente,0.05616474820143885,0.0,6,1
9,3480661.1999999997,10,49.0,Empleado,10210000,2058000,297076,809.0,11,6,0.0,88080.0,88080.0,0.0,6,1,1,,,0.029096571988246816,0.0,8,1
4,3574999.1999999997,10,50.0,Independiente,12000000,10000000,329528,810.0,7,3,0.0,34263.0,34263.0,0.0,6,0,1,916148.0,Creciente,0.027460666666666668,0.0,7,1
4,538800.0,12,40.0,Empleado,1250000,600000,42383,706.0,5,3,0.0,8834.0,3360.0,0.0,1,2,1,1166479.0,Creciente,0.0339064,0.0,4,1
9,821208.0,2,61.0,Independiente,5000000,2000000,323939,777.0,9,9,0.0,23898.0,23898.0,0.0,6,0,2,976666.0,Creciente,0.0647878,0.0,8,1
4,1128000.0,6,56.0,Empleado,3000000,1000000,168108,801.0,4,3,0.0,27874.0,27874.0,0.0,0,2,1,,,0.056036,0.0,3,1
4,5397720.0,6,35.0,Empleado,7000000,1000000,802485,788.0,2,2,0.0,30043.0,734.0,0.0,0,0,2,4966666.0,Creciente,0.11464071428571429,0.0,2,1
4,2245200.0,12,60.0,Empleado,2000000,700000,176378,751.0,8,2,0.0,4896.0,4896.0,0.0,2,1,4,931394.0,Creciente,0.088189,0.0,7,1
4,3525600.0,12,63.0,Empleado,8000000,2500000,277331,867.0,6,3,0.0,57069.0,57069.0,0.0,3,0,1,,,0.034666375,0.0,4,1
9,3394948.8,9,43.0,Empleado,4872000,1424000,331642,856.0,5,3,0.0,80637.0,80637.0,0.0,4,0,1,3568025.0,Creciente,0.06807101806239738,0.0,5,1
4,1143600.0,12,41.0,Independiente,1550000,600000,89618,771.0,3,3,0.0,1006.0,1006.0,0.0,0,0,2,,,0.05781806451612903,0.0,2,1
10,631560.0,6,57.0,Independiente,1800000,400000,93736,749.0,11,3,0.0,6639.0,6639.0,0.0,1,0,10,,,0.052075555555555555,0.0,11,1
4,754724.4,6,27.0,Empleado,1300000,500000,113452,774.0,6,6,0.0,14255.0,14255.0,0.0,4,0,1,1200514.0,Creciente,0.08727076923076924,0.0,5,1
4,2528100.0,36,38.0,Empleado,1650000,600000,81727,714.0,7,4,0.0,8165.0,8165.0,0.0,3,0,2,1173694.0,Creciente,0.04953151515151515,0.0,5,1
4,3895920.0,8,54.0,Empleado,5000000,1000000,441285,794.0,7,0,0.0,29686.0,24200.0,0.0,0,3,1,828685.0,Decreciente,0.088257,0.0,4,1
4,511200.0,6,46.0,Empleado,2300000,350000,76031,698.0,4,9,0.0,1367.0,1367.0,0.0,0,0,4,994444.0,Creciente,0.03305695652173913,0.0,4,1
9,667800.0,8,34.0,Empleado,1700000,400000,69589,769.0,7,3,0.0,24999.0,24999.0,0.0,6,0,0,1513470.0,Creciente,0.04093470588235294,0.0,6,1
4,7096558.8,12,38.0,Independiente,3866000,1200000,492817,748.0,4,3,0.0,10730.0,10730.0,0.0,2,0,0,1580624.0,Decreciente,0.12747465080186238,0.0,2,1
4,1479421.2,12,62.0,Empleado,4200000,1500000,102738,900.0,14,1,0.0,41222.0,41222.0,0.0,11,0,0,1000000.0,Estable,0.02446142857142857,0.0,11,1
4,2749080.0,12,40.0,Empleado,7000000,2500000,215711,814.0,7,6,0.0,16333.0,16333.0,0.0,4,0,0,4701333.0,Creciente,0.03081585714285714,0.0,4,1
4,3488659.1999999997,6,52.0,Independiente,3000000,0,518663,709.0,3,9,0.0,24378.0,24378.0,0.0,2,0,1,970172.0,Creciente,0.17288766666666666,0.0,3,1
9,1519761.5999999999,9,54.0,Empleado,3000000,800000,142137,795.0,9,2,0.0,136018.0,26546.0,0.0,3,2,2,3345537.0,Creciente,0.047379,0.0,7,1
4,2022000.0,10,55.0,Empleado,1200000,600000,187095,763.0,3,4,0.0,13606.0,13606.0,0.0,1,0,1,923771.0,Creciente,0.1559125,0.0,2,1
4,1200000.0,8,63.0,Independiente,3800000,1500000,138340,853.0,5,6,0.0,16741.0,16741.0,0.0,4,0,0,908526.0,Creciente,0.03640526315789474,0.0,4,1
4,1380000.0,12,55.0,Empleado,3000000,600000,109090,844.0,4,2,0.0,37066.0,13819.0,0.0,2,0,2,2183681.0,Decreciente,0.03636333333333333,0.0,4,1
4,1717200.0,12,43.0,Independiente,2600000,1000000,134320,770.0,3,2,0.0,41844.0,41844.0,0.0,2,0,0,916148.0,Creciente,0.05166153846153846,0.0,2,1
4,972000.0,10,54.0,Independiente,3000000,412000,91108,780.0,14,4,0.0,26371.0,16049.0,0.0,4,0,1,,,0.030369333333333335,0.0,5,1
4,2778000.0,6,48.0,Empleado,2200000,350000,411894,774.0,3,2,0.0,7829.0,7829.0,0.0,2,0,0,908526.0,Estable,0.18722454545454545,0.0,2,1
4,1097136.0,12,36.0,Empleado,2300000,600000,86445,732.0,7,3,0.0,11306.0,11306.0,0.0,3,0,2,1008015.0,Creciente,0.037584782608695654,0.0,5,1
4,2014699.2,10,55.0,Independiente,1400000,600000,186892,800.0,1,2,0.0,1409.0,1409.0,0.0,0,0,1,,,0.1334942857142857,0.0,1,1
4,940800.0,6,36.0,Empleado,3090000,2961000,143297,812.0,5,4,0.0,47680.0,47680.0,0.0,0,2,1,3641173.0,Creciente,0.04637443365695793,0.0,3,1
9,1047398.3999999999,10,27.0,Empleado,1500000,600000,88975,692.0,0,2,0.0,0.0,,0.0,0,0,0,1848597.0,Creciente,0.05931666666666666,,0,1
4,3503880.0,18,32.0,Empleado,5000000,400000,193586,732.0,1,3,0.0,541.0,541.0,0.0,1,0,0,946543.0,Creciente,0.0387172,0.0,1,1
9,1676880.0,10,65.0,Independiente,3300000,1200000,142001,843.0,11,0,0.0,7198.0,7198.0,0.0,2,0,7,,,0.04303060606060606,0.0,9,1
4,3326400.0,6,35.0,Empleado,2182000,951000,495740,738.0,9,3,0.0,34981.0,34981.0,0.0,5,0,2,2068863.0,Creciente,0.22719523373052244,0.0,7,1
4,3342360.0,12,46.0,Empleado,3000000,1000000,263025,782.0,9,2,0.0,13567.0,13567.0,0.0,8,0,0,,,0.087675,0.0,8,1
4,7746000.0,24,42.0,Independiente,7000000,0,268958,756.0,7,15,0.0,32953.0,31753.0,0.0,1,0,1,,,0.03842257142857143,0.0,2,0
4,953760.0,6,29.0,Empleado,2600000,600000,142364,738.0,7,6,0.0,40321.0,1425.0,0.0,2,0,2,3100551.0,Creciente,0.054755384615384615,0.0,4,1
4,6816000.0,6,37.0,Independiente,25000000,1000000,1015802,804.0,13,3,0.0,49743.0,49743.0,0.0,8,1,2,908526.0,Creciente,0.04063208,0.0,11,1
4,935880.0,6,30.0,Empleado,1409000,160000,140867,764.0,2,2,0.0,250.0,250.0,0.0,0,0,2,1409000.0,Estable,0.09997657913413768,0.0,2,1
4,2640000.0,36,35.0,Empleado,2000000,600000,84932,832.0,5,3,0.0,63052.0,50252.0,0.0,1,3,1,1784487.0,Creciente,0.042466,0.0,5,1
4,1080000.0,6,62.0,Independiente,1800000,300000,162736,786.0,2,3,0.0,3808.0,3808.0,0.0,0,1,0,,,0.09040888888888889,0.0,1,1
4,1412280.0,12,36.0,Empleado,1100000,350000,111093,776.0,8,3,0.0,4597.0,4597.0,0.0,4,0,2,902469.0,Creciente,0.10099363636363637,0.0,6,1
4,3343500.0,12,55.0,Independiente,1200000,500000,262335,817.0,2,1,0.0,1647.0,1647.0,0.0,1,0,1,,,0.2186125,0.0,2,1
9,1092405.5999999999,10,37.0,Empleado,4500000,1500000,92750,823.0,6,2,0.0,12762.0,12762.0,0.0,4,0,0,4110865.0,Creciente,0.02061111111111111,0.0,4,1
4,581280.0,6,49.0,Empleado,3500000,2000000,86414,791.0,11,7,0.0,108090.0,108090.0,0.0,5,0,5,3794030.0,Creciente,0.024689714285714287,0.0,10,1
4,1121880.0,10,54.0,Empleado,1400000,400000,103961,807.0,2,2,0.0,5447.0,5447.0,0.0,2,0,0,933473.0,Creciente,0.07425785714285714,0.0,2,1
4,2227200.0,6,50.0,Independiente,8000000,3000000,332463,790.0,1,5,0.0,1241.0,1241.0,0.0,1,0,0,1453024.0,Decreciente,0.041557875,0.0,1,1
4,1234680.0,12,29.0,Empleado,2456000,500000,97162,716.0,10,6,0.0,77884.0,77884.0,0.0,2,1,5,2653996.0,Creciente,0.03956107491856677,0.0,8,1
4,1921920.0,6,55.0,Independiente,1800000,350000,285458,823.0,15,4,0.0,115644.0,36142.0,0.0,3,5,5,,,0.15858777777777777,0.0,13,1
9,2670513.6,9,40.0,Independiente,4500000,1800000,250000,776.0,3,13,0.0,2112.0,2112.0,0.0,0,0,1,,,0.05555555555555555,0.0,1,0
4,1787880.0,12,31.0,Independiente,2900000,1000000,124158,770.0,7,3,0.0,23416.0,23416.0,0.0,4,0,1,1303731.0,Creciente,0.04281310344827586,0.0,5,1
4,2608800.0,6,30.0,Independiente,3500000,1200000,386545,818.0,6,6,0.0,150791.0,150791.0,0.0,5,0,0,2000000.0,Creciente,0.11044142857142857,0.0,5,1
9,1790350.8,10,56.0,Independiente,3000000,1800000,151849,733.0,5,1,0.0,49285.0,49285.0,0.0,1,0,4,,,0.05061633333333333,0.0,5,1
4,2803080.0,12,28.0,Empleado,2500000,450000,219948,761.0,4,2,0.0,379.0,379.0,0.0,1,0,1,2005555.0,Estable,0.0879792,0.0,2,1
4,2976000.0,18,51.0,Empleado,4000000,1000000,164550,835.0,3,0,0.0,1443.0,1443.0,0.0,0,0,3,,,0.0411375,0.0,3,1
4,919010.4,6,26.0,Independiente,1200000,235000,138342,789.0,2,1,0.0,14507.0,14507.0,0.0,0,0,1,1474563.0,Creciente,0.115285,0.0,1,1
4,555121.2,6,47.0,Empleado,2890000,1099000,83844,785.0,6,6,0.0,28312.0,28312.0,0.0,4,0,1,1082636.0,Creciente,0.02901176470588235,0.0,5,0
4,1419600.0,6,41.0,Independiente,5460000,3254000,215505,762.0,7,7,0.0,161933.0,161933.0,0.0,3,0,2,4040223.0,Creciente,0.03946978021978022,0.0,5,1
4,1200000.0,12,33.0,Independiente,2000000,1000000,97192,727.0,3,4,0.0,359.0,359.0,0.0,1,0,2,,,0.048596,0.0,3,1
4,834000.0,12,24.0,Empleado,2500000,700000,65712,740.0,1,8,0.0,56.0,56.0,0.0,0,0,1,1407037.0,Creciente,0.0262848,0.0,1,1
9,2966760.0,9,66.0,Empleado,5390000,0,287106,875.0,4,2,0.0,1919.0,0.0,0.0,1,1,1,2334028.0,Creciente,0.05326641929499072,0.0,3,1
4,744600.0,6,45.0,Empleado,2000000,419000,112463,765.0,4,5,0.0,7760.0,7760.0,0.0,2,0,2,969508.0,Creciente,0.0562315,0.0,4,1
4,2076000.0,6,49.0,Independiente,20000000,5000000,308537,786.0,20,4,0.0,554106.0,554106.0,0.0,11,1,2,2141333.0,Creciente,0.01542685,0.0,14,1
9,1918309.2,10,30.0,Empleado,2000000,1000000,162702,718.0,31,2,0.0,78969.0,66485.0,0.0,16,1,6,,,0.081351,0.0,23,1
4,3682320.0,24,40.0,Empleado,6000000,1000000,160977,764.0,13,9,0.0,59834.0,59834.0,0.0,4,1,3,5119068.0,Creciente,0.0268295,0.0,8,1
4,3120600.0,12,63.0,Independiente,4000000,1000000,245168,780.0,11,2,0.0,60767.0,60767.0,0.0,9,0,2,,,0.061292,0.0,11,1
4,2135917.1999999997,6,49.0,Empleado,1800000,600000,317025,809.0,0,3,0.0,0.0,,0.0,0,0,0,1200000.0,Estable,0.176125,,0,0
4,1163880.0,6,42.0,Empleado,3500000,600000,172986,833.0,6,2,0.0,39341.0,39341.0,0.0,2,0,1,3117480.0,Creciente,0.04942457142857143,0.0,3,1
4,2699401.1999999997,6,42.0,Independiente,6500000,2200000,401208,807.0,3,12,0.0,0.0,0.0,0.0,1,0,0,,,0.06172430769230769,,1,0
4,3293760.0,24,54.0,Empleado,2686000,1000000,144322,863.0,7,5,0.0,2682.0,2682.0,0.0,1,0,4,3358504.0,Decreciente,0.05373119880863738,0.0,5,1
9,8993464.799999999,9,36.0,Empleado,45800000,28500000,842728,797.0,9,8,0.0,341966.0,341966.0,0.0,7,0,0,2906191.0,Creciente,0.018400174672489084,0.0,7,1
4,1560000.0,12,58.0,Empleado,1014000,500000,122255,771.0,4,2,0.0,15060.0,15060.0,0.0,2,0,1,908526.0,Estable,0.12056706114398422,0.0,3,1
9,950182.7999999999,11,25.0,Empleado,2652000,1303000,81598,632.0,8,4,0.0,19623.0,19623.0,0.0,2,1,4,880000.0,Creciente,0.0307684766214178,0.0,7,1
4,2198160.0,24,63.0,Empleado,2760000,1113000,104148,753.0,7,2,0.0,12744.0,12744.0,0.0,1,1,5,984754.0,Creciente,0.03773478260869565,0.0,7,1
4,2340000.0,24,24.0,Empleado,2500000,500000,103705,776.0,2,6,0.0,5784.0,5784.0,0.0,2,0,0,1080608.0,Creciente,0.041482,0.0,2,1
4,1311600.0,10,56.0,Independiente,3800000,1800000,123650,778.0,7,2,0.0,28851.0,28851.0,0.0,3,2,1,950105.0,Creciente,0.03253947368421053,0.0,6,1
4,2400000.0,6,40.0,Independiente,3630000,756000,369213,822.0,4,3,0.0,14495.0,14495.0,0.0,1,1,1,1000000.0,Estable,0.10171157024793388,0.0,3,1
4,1994040.0,10,29.0,Empleado,3085000,407000,192643,760.0,5,3,0.0,16335.0,16335.0,0.0,3,0,0,4007798.0,Decreciente,0.062445056726094,0.0,3,1
4,2244840.0,12,31.0,Empleado,1600000,300000,176133,825.0,5,4,0.0,34097.0,34097.0,0.0,3,0,0,,,0.110083125,0.0,3,1
4,1610400.0,6,35.0,Independiente,3200000,6362000,242013,811.0,3,3,0.0,16277.0,16277.0,0.0,2,0,0,1269090.0,Creciente,0.0756290625,0.0,2,1
4,6683820.0,12,39.0,Empleado,3400000,2200000,523776,749.0,11,1,0.0,115412.0,101836.0,0.0,6,0,2,3741651.0,Creciente,0.15405176470588236,0.0,8,0
9,900662.4,10,42.0,Empleado,4605000,2403000,79837,807.0,12,3,0.0,35052.0,35052.0,0.0,6,1,3,,,0.01733702497285559,0.0,10,1
4,902400.0,6,46.0,Empleado,3200000,1200000,133799,705.0,4,2,0.0,1205.0,1205.0,0.0,1,0,2,908526.0,Estable,0.0418121875,0.0,3,1
4,1440000.0,12,32.0,Independiente,3000000,1000000,113472,774.0,7,5,0.0,137790.0,137790.0,0.0,5,0,1,2393255.0,,0.037824,0.0,6,1
4,2627760.0,6,37.0,Empleado,3500000,1500000,390672,812.0,5,4,0.0,34392.0,34392.0,0.0,2,1,1,6009614.0,Decreciente,0.11162057142857143,0.0,4,1
4,3108000.0,24,33.0,Independiente,4000000,150000,135853,778.0,10,6,0.0,16068.0,16068.0,0.0,2,2,3,908526.0,Estable,0.03396325,0.0,7,1
4,840000.0,6,63.0,Independiente,1500000,100000,124535,819.0,1,1,0.0,416.0,416.0,0.0,1,0,0,,,0.08302333333333334,0.0,1,1
4,1835880.0,12,61.0,Independiente,2656000,606000,153710,836.0,10,0,0.0,3215.0,3215.0,0.0,2,1,4,,,0.057872740963855425,0.0,7,1
4,2210280.0,6,63.0,Independiente,2500000,600000,328287,868.0,1,0,0.0,0.0,0.0,0.0,1,0,0,,,0.1313148,,1,1
4,1451760.0,6,30.0,Empleado,3500000,1000000,216698,757.0,4,3,0.0,72701.0,72701.0,0.0,1,1,0,3640085.0,Decreciente,0.06191371428571429,0.0,2,1
9,2656285.1999999997,11,48.0,Independiente,4000000,1500000,206666,880.0,2,2,0.0,2761.0,2761.0,0.0,2,0,0,916583.0,Creciente,0.0516665,0.0,2,1
4,2292000.0,6,31.0,Empleado,3000000,1000000,340657,788.0,2,7,0.0,0.0,0.0,0.0,1,0,0,889831.0,Creciente,0.11355233333333334,,1,1
4,639600.0,6,60.0,Independiente,877803,1030000,96604,825.0,7,7,0.0,35746.0,24680.0,0.0,5,1,0,966736.0,Creciente,0.11005202761895323,0.0,6,1
4,1264800.0,12,53.0,Independiente,30285,723000,102439,766.0,10,16,0.0,43188.0,43188.0,0.0,3,1,6,30285.0,Estable,3.3824995872544164,0.0,10,1
4,1190040.0,6,42.0,Empleado,2100000,700000,177354,695.0,17,10,0.0,19085.0,18879.0,0.0,6,0,6,946916.0,Creciente,0.08445428571428572,0.0,12,1
9,1839747.5999999999,9,33.0,Independiente,5000000,2500000,174350,797.0,7,4,0.0,124804.0,124804.0,0.0,6,0,0,3836949.0,Creciente,0.03487,0.0,6,1
4,2808000.0,6,65.0,Independiente,2000000,400000,416780,806.0,4,4,0.0,574.0,574.0,0.0,1,0,3,,,0.20839,0.0,4,1
4,1283088.0,18,38.0,Empleado,5350000,2254000,74430,726.0,11,3,0.0,123463.0,123463.0,0.0,8,0,1,,,0.01391214953271028,0.0,9,1
4,3143880.0,12,40.0,Empleado,1200000,400000,218325,743.0,9,2,0.0,6245.0,348.0,0.0,5,0,2,1136072.0,Decreciente,0.1819375,0.0,7,1
4,3254400.0,6,47.0,Empleado,3500000,400000,483037,808.0,6,3,0.0,9424.0,9424.0,0.0,3,0,1,454263.0,Estable,0.13801057142857143,0.0,4,1
4,3054720.0,6,54.0,Independiente,4732000,523000,466525,842.0,3,3,0.0,913.0,913.0,0.0,2,0,1,,,0.09858939137785291,0.0,3,1
9,2241538.8,10,63.0,Independiente,2400000,0,192821,914.0,2,2,0.0,229.0,229.0,0.0,1,0,0,1000000.0,Estable,0.08034208333333333,0.0,1,1
4,13658400.0,12,43.0,Empleado,10000000,500000,1074396,758.0,7,3,0.0,110174.0,81474.0,0.0,5,0,1,,,0.1074396,0.0,6,1
9,1015233.6,7,63.0,Independiente,4500000,1500000,119802,796.0,9,7,0.0,24883.0,24883.0,0.0,4,2,0,908526.0,Estable,0.026622666666666666,0.0,6,1
9,878880.0,5,64.0,Empleado,5000000,2000000,142747,735.0,5,6,0.0,4358.0,4358.0,0.0,2,0,2,316667.0,Decreciente,0.0285494,0.0,4,1
4,2540280.0,12,27.0,Empleado,1500000,400000,199314,724.0,12,10,0.0,9875.0,9875.0,0.0,3,0,5,1211904.0,Creciente,0.132876,0.0,8,1
4,5884080.0,12,45.0,Empleado,4000000,1500000,408617,856.0,10,3,0.0,167117.0,26537.0,0.0,5,2,0,6383802.0,Creciente,0.10215425,0.0,7,1
9,1773547.2,10,34.0,Empleado,2500000,1000000,150582,857.0,3,2,0.0,54402.0,54402.0,0.0,3,0,0,2423604.0,Creciente,0.0602328,0.0,3,1
9,1654917.5999999999,2,50.0,Independiente,3000000,1500000,652809,866.0,2,2,0.0,52681.0,0.0,0.0,1,0,1,3690167.0,Estable,0.217603,0.0,2,1
9,1269000.0,2,50.0,Independiente,5000000,2000000,500357,716.0,4,8,0.0,3947.0,3947.0,0.0,1,0,2,908526.0,Estable,0.1000714,0.0,3,1
4,390663.6,6,50.0,Empleado,1430000,72000,59405,771.0,3,1,0.0,324.0,324.0,0.0,1,0,2,992377.0,Creciente,0.041541958041958045,0.0,3,1
9,637281.6,9,64.0,Empleado,2000000,1500000,59659,874.0,4,2,0.0,953.0,953.0,0.0,1,0,0,,,0.0298295,0.0,1,1
4,3828480.0,24,27.0,Empleado,2170000,274000,181391,755.0,5,5,0.0,2290.0,2290.0,0.0,2,0,1,1656576.0,Decreciente,0.08359032258064517,0.0,3,1
4,1008000.0,6,39.0,Empleado,3000000,1000000,149852,774.0,5,4,0.0,90431.0,90431.0,0.0,1,1,3,,,0.049950666666666664,0.0,5,1
4,1784280.0,12,51.0,Empleado,1100000,350000,140181,823.0,3,2,0.0,29.0,29.0,0.0,1,0,0,908571.0,Decreciente,0.12743727272727273,0.0,1,1
4,1794000.0,12,62.0,Empleado,2800000,350000,140476,777.0,10,7,0.0,12190.0,12190.0,0.0,4,0,3,961885.0,Creciente,0.05017,0.0,7,1
9,1226595.5999999999,10,40.0,Empleado,1350000,7009000,105514,718.0,10,5,0.0,311994.0,311994.0,0.0,6,0,2,1350000.0,Estable,0.07815851851851852,0.0,8,1
4,1124761.2,8,34.0,Empleado,937301,1800000,127683,770.0,0,3,0.0,0.0,,0.0,0,0,0,926879.0,Creciente,0.13622411583898875,,0,1
9,8005700.399999999,10,,Empleado,105912527,75500000,681503,,0,0,,,,0.0,0,0,0,,,0.006434583512486677,,0,1
4,1794000.0,6,37.0,Empleado,5000000,1500000,266458,817.0,6,5,0.0,24654.0,22254.0,0.0,2,0,3,908526.0,Creciente,0.0532916,0.0,5,1
9,2802081.6,11,32.0,Empleado,4500000,2500000,218258,800.0,6,2,0.0,136546.0,136546.0,0.0,4,0,1,2200000.0,Estable,0.048501777777777776,0.0,5,1
4,1521600.0,12,53.0,Empleado,5000000,1000000,119741,872.0,14,4,0.0,194916.0,182217.0,0.0,4,0,6,,,0.0239482,0.0,10,1
4,1908000.0,18,59.0,Empleado,1600000,500000,106540,818.0,1,2,0.0,125970.0,0.0,0.0,0,1,0,1562069.0,Creciente,0.0665875,0.0,1,1
4,672000.0,12,29.0,Independiente,1117500,250000,53122,799.0,0,2,0.0,0.0,,0.0,0,0,0,,,0.04753646532438479,,0,1
4,4031760.0,12,39.0,Empleado,15000000,2000000,279983,873.0,13,2,0.0,427884.0,421014.0,0.0,10,0,1,3306909.0,Decreciente,0.018665533333333335,0.0,11,1
4,3937800.0,24,33.0,Independiente,4000000,800000,172515,741.0,6,4,0.0,43358.0,43358.0,0.0,4,0,0,944500.0,Creciente,0.04312875,0.0,4,1
4,1005600.0,12,55.0,Empleado,3000000,2000000,78643,767.0,5,2,0.0,3736.0,3736.0,0.0,3,0,0,,,0.026214333333333333,0.0,3,1
4,1348800.0,10,58.0,Independiente,3800000,1250000,124673,813.0,6,1,0.0,43919.0,43919.0,0.0,3,1,0,,,0.032808684210526316,0.0,4,1
9,1709187.5999999999,4,,Empleado,95089176,1628602,348573,,0,0,,,,0.0,0,0,0,,,0.003665748454903006,,0,1
4,3760920.0,8,36.0,Independiente,8000000,4000000,428758,754.0,12,4,0.0,69904.0,69904.0,0.0,8,0,1,3825602.0,Creciente,0.05359475,0.0,9,1
9,1185660.0,2,60.0,Independiente,4000000,2000000,467909,782.0,9,5,0.0,51680.0,29499.0,0.0,6,0,2,,,0.11697725,0.0,8,1
4,3600000.0,36,57.0,Empleado,1300000,500000,116567,791.0,3,2,0.0,17892.0,16959.0,0.0,2,0,1,877803.0,Estable,0.08966692307692307,0.0,3,1
